peer,KPI,sort,Product,Hierarchy 1,average,Value,Rank,last,group,Code
Dashboarding-focused products,Product satisfaction,10,TIBCO Spotfire,Customer satisfaction,5.69871926,5.075303443,10,,2,
Dashboarding-focused products,Product satisfaction,10,Zoho Reports,Customer satisfaction,5.69871926,7.502724796,5,,2,
Dashboarding-focused products,Customer experience,11,BOARD,Customer experience,6.207766776,6.361726608,8,,1,
Dashboarding-focused products,Customer experience,11,Chartio,Customer experience,6.207766776,5.958898735,11,,1,
Dashboarding-focused products,Customer experience,11,Cubeware,Customer experience,6.207766776,5.477713692,15,,1,
Dashboarding-focused products,Customer experience,11,CXO-Cockpit,Customer experience,6.207766776,6.278072191,10,,1,
Dashboarding-focused products,Customer experience,11,DigDash,Customer experience,6.207766776,5.381646793,16,,1,
Dashboarding-focused products,Customer experience,11,Dimensional Insight,Customer experience,6.207766776,6.303382304,9,,1,
Dashboarding-focused products,Customer experience,11,Domo,Customer experience,6.207766776,7.556211787,3,,1,
Dashboarding-focused products,Customer experience,11,Dundas,Customer experience,6.207766776,5.910247331,12,,1,
Dashboarding-focused products,Customer experience,11,Entrinsik,Customer experience,6.207766776,6.509133114,6,,1,
Dashboarding-focused products,Customer experience,11,Longview Analytics,Customer experience,6.207766776,6.518297913,5,,1,
Dashboarding-focused products,Customer experience,11,MS Power BI,Customer experience,6.207766776,5.654295631,14,,1,
Dashboarding-focused products,Customer experience,11,Pyramid Analytics,Customer experience,6.207766776,7.568107853,2,,1,
Dashboarding-focused products,Customer experience,11,QlikView,Customer experience,6.207766776,6.495704558,7,,1,
Dashboarding-focused products,Customer experience,11,SAP BO Design St.,Customer experience,6.207766776,5.160156208,19,,1,
Dashboarding-focused products,Customer experience,11,Sisense,Customer experience,6.207766776,5.724804701,13,,1,
Dashboarding-focused products,Customer experience,11,Tableau,Customer experience,6.207766776,5.340093261,17,,1,
Dashboarding-focused products,Customer experience,11,TARGIT,Customer experience,6.207766776,6.649890489,4,,1,
Dashboarding-focused products,Customer experience,11,TIBCO Spotfire,Customer experience,6.207766776,7.80725827,1,,1,
Dashboarding-focused products,Customer experience,11,Zoho Reports,Customer experience,6.207766776,5.291927308,18,,1,
Dashboarding-focused products,Self-service,12,BOARD,Customer experience,5.927044864,6.925317797,8,,2,
Dashboarding-focused products,Self-service,12,Chartio,Customer experience,5.927044864,9.284957627,3,,2,
Dashboarding-focused products,Self-service,12,Cubeware,Customer experience,5.927044864,7.220272775,7,,2,
Dashboarding-focused products,Self-service,12,CXO-Cockpit,Customer experience,5.927044864,5.194915254,12,,2,
Dashboarding-focused products,Self-service,12,DigDash,Customer experience,5.927044864,2.048728814,17,,2,
Dashboarding-focused products,Self-service,12,Dimensional Insight,Customer experience,5.927044864,5.120887338,13,,2,
Dashboarding-focused products,Self-service,12,Domo,Customer experience,5.927044864,8.19589309,5,,2,
Dashboarding-focused products,Self-service,12,Dundas,Customer experience,5.927044864,1.599273608,18,,2,
Dashboarding-focused products,Self-service,12,Entrinsik,Customer experience,5.927044864,9.713983051,1,,2,
Dashboarding-focused products,Self-service,12,Longview Analytics,Customer experience,5.927044864,1,19,,2,
Dashboarding-focused products,Self-service,12,MS Power BI,Customer experience,5.927044864,6.380785528,9,,2,
Dashboarding-focused products,Self-service,12,Pyramid Analytics,Customer experience,5.927044864,8.76059322,4,,2,
Dashboarding-focused products,Self-service,12,QlikView,Customer experience,5.927044864,6.251134988,10,,2,
Dashboarding-focused products,Self-service,12,SAP BO Design St.,Customer experience,5.927044864,4.279661017,14,,2,
Dashboarding-focused products,Self-service,12,Sisense,Customer experience,5.927044864,4.010468594,15,,2,
Dashboarding-focused products,Self-service,12,Tableau,Customer experience,5.927044864,6.183716707,11,,2,
Dashboarding-focused products,Self-service,12,TARGIT,Customer experience,5.927044864,7.85819866,6,,2,
Dashboarding-focused products,Self-service,12,TIBCO Spotfire,Customer experience,5.927044864,9.50968523,2,,2,
Dashboarding-focused products,Self-service,12,Zoho Reports,Customer experience,5.927044864,3.075379126,16,,2,
Dashboarding-focused products,Flexibility for users,13,BOARD,Customer experience,6.095254033,8.696748554,3,,2,
Dashboarding-focused products,Flexibility for users,13,Chartio,Customer experience,6.095254033,5.585565933,11,,2,
Dashboarding-focused products,Flexibility for users,13,Cubeware,Customer experience,6.095254033,5.780411201,10,,2,
Dashboarding-focused products,Flexibility for users,13,CXO-Cockpit,Customer experience,6.095254033,5.87037326,8,,2,
Dashboarding-focused products,Flexibility for users,13,DigDash,Customer experience,6.095254033,5.853531452,9,,2,
Dashboarding-focused products,Flexibility for users,13,Dimensional Insight,Customer experience,6.095254033,6.625641522,7,,2,
Dashboarding-focused products,Flexibility for users,13,Domo,Customer experience,6.095254033,4.372988865,16,,2,
Dashboarding-focused products,Flexibility for users,13,Dundas,Customer experience,6.095254033,8.382721669,4,,2,
Dashboarding-focused products,Flexibility for users,13,Entrinsik,Customer experience,6.095254033,5.091026367,13,,2,
Dashboarding-focused products,Flexibility for users,13,Longview Analytics,Customer experience,6.095254033,9.485970318,1,,2,
Dashboarding-focused products,Flexibility for users,13,MS Power BI,Customer experience,6.095254033,3.695334922,19,,2,
Dashboarding-focused products,Flexibility for users,13,Pyramid Analytics,Customer experience,6.095254033,4.315180742,17,,2,
Dashboarding-focused products,Flexibility for users,13,QlikView,Customer experience,6.095254033,6.996817879,6,,2,
Dashboarding-focused products,Flexibility for users,13,SAP BO Design St.,Customer experience,6.095254033,4.775007745,14,,2,
Dashboarding-focused products,Flexibility for users,13,Sisense,Customer experience,6.095254033,7.50000466,5,,2,
Dashboarding-focused products,Flexibility for users,13,Tableau,Customer experience,6.095254033,4.061401356,18,,2,
Dashboarding-focused products,Flexibility for users,13,TARGIT,Customer experience,6.095254033,4.571633302,15,,2,
Dashboarding-focused products,Flexibility for users,13,TIBCO Spotfire,Customer experience,6.095254033,8.730585295,2,,2,
Dashboarding-focused products,Flexibility for users,13,Zoho Reports,Customer experience,6.095254033,5.418881594,12,,2,
Dashboarding-focused products,Ease of use,14,BOARD,Customer experience,6.689885084,6.745032043,8,,2,
Dashboarding-focused products,Ease of use,14,Chartio,Customer experience,6.689885084,6.691202726,9,,2,
Dashboarding-focused products,Ease of use,14,Cubeware,Customer experience,6.689885084,4.524143093,19,,2,
Dashboarding-focused products,Ease of use,14,CXO-Cockpit,Customer experience,6.689885084,10,1,,2,
Dashboarding-focused products,Ease of use,14,DigDash,Customer experience,6.689885084,7.564901201,4,,2,
Dashboarding-focused products,Ease of use,14,Dimensional Insight,Customer experience,6.689885084,5.253681372,18,,2,
Dashboarding-focused products,Ease of use,14,Domo,Customer experience,6.689885084,8.112322929,3,,2,
Dashboarding-focused products,Ease of use,14,Dundas,Customer experience,6.689885084,6.47012226,11,,2,
Dashboarding-focused products,Ease of use,14,Entrinsik,Customer experience,6.689885084,8.45376318,2,,2,
Dashboarding-focused products,Ease of use,14,Longview Analytics,Customer experience,6.689885084,5.819069789,15,,2,
Dashboarding-focused products,Ease of use,14,MS Power BI,Customer experience,6.689885084,6.001259824,13,,2,
Dashboarding-focused products,Ease of use,14,Pyramid Analytics,Customer experience,6.689885084,7.02245281,7,,2,
Dashboarding-focused products,Ease of use,14,QlikView,Customer experience,6.689885084,5.994831681,14,,2,
Dashboarding-focused products,Ease of use,14,SAP BO Design St.,Customer experience,6.689885084,5.359286324,17,,2,
Dashboarding-focused products,Ease of use,14,Sisense,Customer experience,6.689885084,7.485731191,5,,2,
Dashboarding-focused products,Ease of use,14,Tableau,Customer experience,6.689885084,7.142098841,6,,2,
Dashboarding-focused products,Ease of use,14,TARGIT,Customer experience,6.689885084,6.483753663,10,,2,
Dashboarding-focused products,Ease of use,14,TIBCO Spotfire,Customer experience,6.689885084,5.794852163,16,,2,
Dashboarding-focused products,Ease of use,14,Zoho Reports,Customer experience,6.689885084,6.189311514,12,,2,
Dashboarding-focused products,Sales experience,15,BOARD,Customer experience,7.348139253,6.231740307,16,,2,
Dashboarding-focused products,Sales experience,15,Chartio,Customer experience,7.348139253,8.125338142,7,,2,
Dashboarding-focused products,Sales experience,15,Cubeware,Customer experience,7.348139253,6.324874404,13,,2,
Dashboarding-focused products,Sales experience,15,CXO-Cockpit,Customer experience,7.348139253,7.889990983,9,,2,
Dashboarding-focused products,Sales experience,15,DigDash,Customer experience,7.348139253,7.760144274,10,,2,
Dashboarding-focused products,Sales experience,15,Dimensional Insight,Customer experience,7.348139253,9.483859333,3,,2,
